task_id,field,generator,draw,baseline_specification_state,epsilon,sign,coverage,violation,S,S_baseline,delta_S_spec,delta_S_status,ESS,baseline_floor_hit,perturbed_floor_hit,sat_count,confidently_wrong,semantic_type,has_regime_invariant,has_asymptotic_mechanism_invariant,from_above_invariant
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.0,0,1,0.0,1.296851993702274,1.296851993702274,0.0,exact,3944.841674913842,0,0,179,0,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.025,-1,1,0.0,1.2987657575191645,1.296851993702274,0.001913763816890457,exact,3944.841674913842,0,0,175,0,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.025,1,0,0.020000000000000035,1.3002034877318205,1.296851993702274,0.003351494029546487,exact,3944.841674913842,0,0,172,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.05,-1,0,0.005000000000000022,1.3026043077990572,1.296851993702274,0.005752314096783229,exact,3944.841674913842,0,0,167,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.05,1,0,0.045000000000000054,1.3002034877318205,1.296851993702274,0.003351494029546487,exact,3944.841674913842,0,0,172,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.1,-1,0,0.05500000000000006,1.308873549786862,1.296851993702274,0.012021556084587992,exact,3944.841674913842,0,0,154,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.1,1,0,0.0950000000000001,1.2982869730968172,1.296851993702274,0.0014349793945431788,exact,3944.841674913842,0,0,176,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.2,-1,0,0.15500000000000014,1.3156692876287281,1.296851993702274,0.01881729392645415,exact,3944.841674913842,0,0,140,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.2,1,0,0.19500000000000017,1.2949418853826857,1.296851993702274,-0.0019101083195882662,exact,3944.841674913842,0,0,183,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.3,-1,0,0.25499999999999995,1.3021236824492306,1.296851993702274,0.005271688746956604,exact,3944.841674913842,0,0,168,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=-0.8,0.3,1,0,0.295,1.2987657575191645,1.296851993702274,0.001913763816890457,exact,3944.841674913842,0,0,175,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.0,0.0,0,1,0.0,1.3021236824492306,1.3021236824492306,0.0,exact,3944.841674913842,0,0,168,0,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.0,0.025,-1,1,1.734723475976807e-17,1.3011631241971273,1.3021236824492306,-0.0009605582521032829,exact,3944.841674913842,0,0,170,0,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.0,0.025,1,1,1.734723475976807e-17,1.299244771285846,1.3021236824492306,-0.0028789111633846787,exact,3944.841674913842,0,0,174,0,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.0,0.05,-1,0,0.02500000000000004,1.3074233092441692,1.3021236824492306,0.005299626794938561,exact,3944.841674913842,0,0,157,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.0,0.05,1,0,0.02500000000000004,1.297808417799296,1.3021236824492306,-0.0043152646499347025,exact,3944.841674913842,0,0,177,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.0,0.1,-1,0,0.07500000000000008,1.3079064891074441,1.3021236824492306,0.005782806658213513,exact,3944.841674913842,0,0,156,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.0,0.1,1,0,0.07500000000000008,1.2949418853826857,1.3021236824492306,-0.0071817970665448705,exact,3944.841674913842,0,0,183,1,mechanistic,1,1,1
regime_onset:spline:0,regime_onset,spline,0,r0=+0.0,0.2,-1,0,0.17500000000000002,1.3108104812948829,1.3021236824492306,0.008686798845652266,exact,3944.841674913842,0,0,150,1,mechanistic,1,1,1
