knowledge_state,prefix_exposure,n_tasks,mean_D2,ci_2_5,ci_97_5,analysis_role,bootstrap_replicates,bootstrap_unit,source_rows_sha256
broad,high,2520,0.01898596073714462,0.017597761911824588,0.02040984860185561,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
broad,low,2520,0.07655379066848149,0.06921266470156773,0.08434624048212623,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
broad,medium,2520,0.03143267084189695,0.028842840625945686,0.03411895310057993,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
covered_biased,high,2520,0.001870654602937601,0.001463111615045718,0.0022886456158350806,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
covered_biased,low,2520,0.010701607158951236,0.00966225983922803,0.011807334721172673,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
covered_biased,medium,2520,0.00535360190549381,0.004513631288109443,0.006209680219711473,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,high,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,low,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
exact,medium,2520,0.0,0.0,0.0,equivalence_audit,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
existence_only,high,2520,0.05188570398935179,0.04934523009318196,0.05445709287312723,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
existence_only,low,2520,0.13291114034545795,0.11900168151698186,0.14770764869405026,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
existence_only,medium,2520,0.054762791931258666,0.05099859449521566,0.05868420142904669,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
narrow,high,2520,0.001146060765025541,0.0008544572984777664,0.0014692833657378311,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
narrow,low,2520,0.010437124610363504,0.009517474882450846,0.011386582903312018,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
narrow,medium,2520,0.005031729123533391,0.004239343277049067,0.005890218752262216,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
uncovered_biased,high,2520,0.007870441877194191,0.006955679749567855,0.008846663728812185,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
uncovered_biased,low,2520,0.010890260741034528,0.009465847180011276,0.012378887933649793,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
uncovered_biased,medium,2520,0.008171320690046474,0.0071945930801680874,0.009194429094526354,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
